table,ask_bucket,state_bucket_type,state_bucket,rows,matches,avg_ask,win_rate,win_rate_minus_avg_ask,avg_pnl,total_pnl,robust_residual_bucket,robust_gate_reason
state_residual,50_65,side_kill_mom_bucket,kill_mom_-2_-1,103,30,0.5916504854368931,0.4174757281553398,-0.17417475728155335,-0.1741747572815534,-17.94,False,nonpositive_residual
state_residual,50_65,side_kill_mom_bucket,kill_mom_0,244,42,0.5855327868852459,0.5450819672131147,-0.040450819672131155,-0.04045081967213115,-9.870000000000001,False,nonpositive_residual
state_residual,50_65,side_kill_mom_bucket,kill_mom_1_2,96,34,0.5908333333333333,0.5416666666666666,-0.04916666666666669,-0.049166666666666664,-4.72,False,nonpositive_residual
state_residual,50_65,side_kill_mom_bucket,kill_mom_ge_3,403,52,0.5830272952853598,0.47642679900744417,-0.10660049627791562,-0.10660049627791562,-42.959999999999994,False,nonpositive_residual
state_residual,50_65,side_kill_mom_bucket,kill_mom_le_-3,437,48,0.5830892448512586,0.6567505720823799,0.07366132723112129,0.07366132723112132,32.19000000000001,True,pass
state_residual,65_80,side_kill_mom_bucket,kill_mom_-2_-1,123,35,0.7356097560975607,0.6585365853658537,-0.07707317073170705,-0.07707317073170733,-9.480000000000002,False,nonpositive_residual
state_residual,65_80,side_kill_mom_bucket,kill_mom_0,242,63,0.7373140495867769,0.7148760330578512,-0.02243801652892574,-0.02243801652892563,-5.430000000000002,False,nonpositive_residual
state_residual,65_80,side_kill_mom_bucket,kill_mom_1_2,138,32,0.7389130434782608,0.6811594202898551,-0.05775362318840571,-0.0577536231884058,-7.970000000000001,False,nonpositive_residual
state_residual,65_80,side_kill_mom_bucket,kill_mom_ge_3,520,65,0.7356346153846154,0.7230769230769231,-0.012557692307692325,-0.01255769230769231,-6.530000000000001,False,nonpositive_residual
state_residual,65_80,side_kill_mom_bucket,kill_mom_le_-3,474,60,0.7351476793248944,0.7088607594936709,-0.026286919831223554,-0.026286919831223637,-12.460000000000004,False,nonpositive_residual
state_residual,80_100,side_kill_mom_bucket,kill_mom_-2_-1,202,40,0.8882178217821783,0.8712871287128713,-0.016930693069307057,-0.01693069306930692,-3.419999999999998,False,nonpositive_residual
state_residual,80_100,side_kill_mom_bucket,kill_mom_0,325,67,0.8864000000000001,0.8923076923076924,0.0059076923076922805,0.005907692307692312,1.9200000000000013,True,pass
state_residual,80_100,side_kill_mom_bucket,kill_mom_1_2,233,40,0.8897424892703862,0.9141630901287554,0.024420600858369168,0.024420600858369095,5.6899999999999995,True,pass
state_residual,80_100,side_kill_mom_bucket,kill_mom_ge_3,755,63,0.8886092715231788,0.8874172185430463,-0.0011920529801324742,-0.0011920529801324508,-0.9000000000000004,False,nonpositive_residual
state_residual,80_100,side_kill_mom_bucket,kill_mom_le_-3,664,67,0.8871234939759035,0.8328313253012049,-0.05429216867469866,-0.05429216867469879,-36.05,False,nonpositive_residual
state_residual,00_20,side_transition_kill_delta_bucket,transition_kill_-2_-1,123,27,0.11975609756097563,0.056910569105691054,-0.06284552845528457,-0.06284552845528456,-7.73,False,nonpositive_residual
state_residual,00_20,side_transition_kill_delta_bucket,transition_kill_0,517,74,0.12384912959381045,0.09477756286266925,-0.029071566731141196,-0.029071566731141203,-15.030000000000003,False,nonpositive_residual
state_residual,00_20,side_transition_kill_delta_bucket,transition_kill_1_2,201,52,0.11930348258706468,0.08955223880597014,-0.029751243781094533,-0.02975124378109453,-5.98,False,nonpositive_residual
state_residual,00_20,side_transition_kill_delta_bucket,transition_kill_ge_3,599,74,0.12362270450751252,0.09682804674457429,-0.026794657762938226,-0.026794657762938236,-16.050000000000004,False,nonpositive_residual
state_residual,00_20,side_transition_kill_delta_bucket,transition_kill_le_-3,570,70,0.12410526315789475,0.08421052631578947,-0.039894736842105274,-0.03989473684210527,-22.740000000000002,False,nonpositive_residual
state_residual,20_35,side_transition_kill_delta_bucket,transition_kill_-2_-1,51,18,0.2727450980392157,0.0392156862745098,-0.2335294117647059,-0.23352941176470587,-11.91,False,nonpositive_residual
state_residual,20_35,side_transition_kill_delta_bucket,transition_kill_0,397,73,0.28211586901763225,0.3148614609571788,0.03274559193954657,0.03274559193954659,12.999999999999996,True,pass
state_residual,20_35,side_transition_kill_delta_bucket,transition_kill_1_2,149,51,0.27610738255033557,0.1610738255033557,-0.11503355704697987,-0.11503355704697987,-17.14,False,nonpositive_residual
state_residual,20_35,side_transition_kill_delta_bucket,transition_kill_ge_3,478,79,0.28018828451882855,0.2384937238493724,-0.04169456066945615,-0.04169456066945608,-19.930000000000007,False,nonpositive_residual
state_residual,20_35,side_transition_kill_delta_bucket,transition_kill_le_-3,462,80,0.2798917748917749,0.26406926406926406,-0.01582251082251085,-0.01582251082251083,-7.310000000000004,False,nonpositive_residual
state_residual,35_50,side_transition_kill_delta_bucket,transition_kill_-2_-1,37,10,0.44189189189189193,0.1891891891891892,-0.25270270270270273,-0.2527027027027028,-9.350000000000003,False,nonpositive_residual
state_residual,35_50,side_transition_kill_delta_bucket,transition_kill_0,382,61,0.43746073298429305,0.35340314136125656,-0.0840575916230365,-0.08405759162303661,-32.109999999999985,False,nonpositive_residual
