model_name,score_kind,ask_filter,threshold,folds,trades,wins,pnl,pnl_1c,pnl_2c,win_rate,avg_ask
value_logistic,value_class,ask_25_55,0.55,5,22,11,-0.13000000000000034,-0.35000000000000053,-0.5700000000000007,0.5,0.505909090909091
value_logistic,value_class,ask_20_50,0.55,4,12,5,-0.6099999999999999,-0.73,-0.8500000000000001,0.4166666666666667,0.46749999999999997
value_logistic,value_class,ask_20_60,0.65,5,12,6,-0.7099999999999997,-0.8299999999999998,-0.95,0.5,0.5591666666666667
winprob_logistic,win_prob,ask_25_55,0.08,4,15,6,-0.7999999999999997,-0.9499999999999998,-1.1,0.4,0.4533333333333333
value_logistic,value_class,ask_25_55,0.58,4,12,5,-0.9700000000000002,-1.09,-1.2100000000000002,0.4166666666666667,0.4975
winprob_logistic,win_prob,ask_20_50,0.08,4,14,5,-0.9799999999999999,-1.12,-1.2600000000000002,0.35714285714285715,0.4271428571428571
value_logistic,value_class,ask_15_70,0.65,5,39,25,-0.5,-0.8900000000000001,-1.2800000000000011,0.6410256410256411,0.6538461538461539
value_logistic,value_class,ask_15_70,0.6,5,43,27,-0.46999999999999964,-0.9000000000000007,-1.3300000000000005,0.627906976744186,0.6388372093023257
winprob_logistic,win_prob,ask_20_50,0.1,4,10,3,-1.2599999999999998,-1.3599999999999999,-1.46,0.3,0.426
value_logistic,value_class,ask_20_60,0.58,5,27,14,-1.0499999999999996,-1.3199999999999998,-1.5900000000000003,0.5185185185185185,0.5574074074074075
value_hgb,value_class,ask_25_55,0.52,5,43,19,-0.7399999999999999,-1.1700000000000004,-1.600000000000001,0.4418604651162791,0.4590697674418605
value_hgb,value_class,ask_25_55,0.48,5,44,19,-1.0200000000000005,-1.4600000000000009,-1.9000000000000012,0.4318181818181818,0.455
winprob_logistic,win_prob,ask_20_50,0.06,4,16,5,-1.63,-1.79,-1.9500000000000002,0.3125,0.414375
winprob_logistic,win_prob,ask_25_55,0.1,4,11,3,-1.7999999999999998,-1.91,-2.02,0.2727272727272727,0.43636363636363634
winprob_logistic,win_prob,ask_25_55,0.06,4,18,6,-1.6799999999999997,-1.8599999999999999,-2.04,0.3333333333333333,0.42666666666666664
winprob_logistic,win_prob,ask_25_55,0.04,5,23,8,-1.6499999999999997,-1.88,-2.1100000000000003,0.34782608695652173,0.41956521739130437
winprob_logistic,win_prob,ask_20_60,0.08,5,17,6,-1.8899999999999997,-2.06,-2.23,0.35294117647058826,0.4641176470588235
value_logistic,value_class,ask_15_70,0.58,5,43,26,-1.5100000000000002,-1.9400000000000008,-2.370000000000001,0.6046511627906976,0.6397674418604652
