stage,fold,model_name,model_version,training_cutoff_match_time,match_id,market_id,label_market_bucket,token_id,side,received_at_utc,received_at_ns,game_time_sec,league_id,settled_win,fair_prob,calibrated_prob,book_best_ask,book_best_bid,book_spread,book_ask_size,edge,entry_threshold,paper_entry_price,pnl_per_share,pnl_slip_1c,pnl_slip_2c,side_nw,side_score,side_tower,side_rax,side_mom_100,reason
walk_forward,2,logistic_fair_state,state_only_v1,2026-05-31T18:17:58.840+00:00,8833570075,2403735,MAP_WINNER,20719658468646505747960187366144888625541951491756965930069965060686382109921,YES,2026-05-31T19:24:11.646+00:00,1780255447340310438,621.0,19699,False,0.462148022739063,0.2608695652173913,0.16,0.13,0.03,459.66,0.1008695652173913,0.05,0.16,-0.16,-0.17,-0.18,-1241.0,0.0,,,-913.0,model_edge
walk_forward,2,logistic_fair_state,state_only_v1,2026-05-31T18:17:58.840+00:00,8833592202,2402172,MATCH_WINNER_GAME3_PROXY,98746949176922541120421769123425630499782836764605355371450399035028157453760,NO,2026-05-31T20:02:23.230+00:00,1780257739542264019,1645.0,19699,False,0.4599959816935983,0.2608695652173913,0.11,0.1,0.009999999999999995,168.0,0.1508695652173913,0.05,0.11,-0.11,-0.12,-0.13,-1749.0,-5.0,,,19.0,model_edge
walk_forward,2,logistic_fair_state,state_only_v1,2026-05-31T18:17:58.840+00:00,8834190489,0x45dd6e6ee0f2a90ff77ec1f3b2050393b9b18dfaa9afffa1867cce87a51bad6f,MAP_WINNER,90852271027558820565623177699387951731775764190495449774012380453202250668619,NO,2026-06-01T11:02:17.065+00:00,1780311730921569565,1969.0,19699,True,0.984109824620326,1.0,0.91,0.84,0.07000000000000006,110.0,0.08999999999999997,0.05,0.91,0.08999999999999997,0.07999999999999996,0.06999999999999995,27784.0,25.0,,,,model_edge
walk_forward,2,logistic_fair_state,state_only_v1,2026-05-31T18:17:58.840+00:00,8834230023,0x212000bffae05b954a6b51f449cf966cc280051a41323ae2a37a01cf1cd477b2,MAP_WINNER,73568959922747558805079044463449051623199298803530124387342134654406072201915,NO,2026-06-01T11:20:09.107+00:00,1780312808012473660,1100.0,19699,True,0.7227105365304737,0.8884848484848484,0.69,0.57,0.12,103.26,0.1984848484848485,0.05,0.69,0.31000000000000005,0.30000000000000004,0.29000000000000004,4014.0,2.0,,,4197.0,model_edge
walk_forward,2,logistic_fair_state,state_only_v1,2026-05-31T18:17:58.840+00:00,8834230023,2408470,MATCH_WINNER_GAME3_PROXY,9176751882301236225673094124537622527985496208470188479749452449693522539092,NO,2026-06-01T11:27:20.862+00:00,1780313239827991480,1487.0,19699,True,0.7579779511621259,0.8884848484848484,0.73,0.63,0.09999999999999998,140.0,0.15848484848484845,0.05,0.73,0.27,0.26,0.25,5656.0,9.0,,,-1196.0,model_edge
walk_forward,2,logistic_fair_state,state_only_v1,2026-05-31T18:17:58.840+00:00,8834573464,2409782,MAP_WINNER,72693239856871954714595278976608039753374042992143644250227147095808238284383,NO,2026-06-01T15:55:39.100+00:00,1780329339100506737,1578.0,19699,True,0.5266164752821958,0.7051792828685259,0.47,0.41,0.06,27.85,0.23517928286852596,0.05,0.47,0.53,0.52,0.51,642.0,0.0,1.0,0.0,,model_edge
walk_forward,2,logistic_residual_trade,market_aware_residual_v1,2026-05-31T18:17:58.840+00:00,8833570075,2403735,MAP_WINNER,25667474292063857915976764828662710806639570660558642389225358765034645844219,NO,2026-05-31T19:23:26.856+00:00,1780255406856114039,600.0,19699,True,0.7051792828685259,0.7051792828685259,0.84,0.77,0.06999999999999995,90.88,0.17973178596939265,0.7,0.84,0.16000000000000003,0.15000000000000002,0.14,473.0,1.0,-0.0,-0.0,145.0,residual_trade_prob
walk_forward,2,logistic_residual_trade,market_aware_residual_v1,2026-05-31T18:17:58.840+00:00,8833592202,2402172,MATCH_WINNER_GAME3_PROXY,114655223880042292530586991143879011204329343540263886183589029287526746660271,YES,2026-05-31T19:48:45.155+00:00,1780256925155616908,857.0,19699,True,0.8884848484848484,0.8884848484848484,0.95,0.92,0.029999999999999916,72.63,0.25852550306970623,0.7,0.95,0.050000000000000044,0.040000000000000036,0.030000000000000027,3676.0,7.0,3.0,-0.0,2511.0,residual_trade_prob
walk_forward,2,logistic_residual_trade,market_aware_residual_v1,2026-05-31T18:17:58.840+00:00,8834190489,0x45dd6e6ee0f2a90ff77ec1f3b2050393b9b18dfaa9afffa1867cce87a51bad6f,MAP_WINNER,90852271027558820565623177699387951731775764190495449774012380453202250668619,NO,2026-06-01T11:02:17.065+00:00,1780311730921569565,1969.0,19699,True,1.0,1.0,0.91,0.84,0.07000000000000006,110.0,0.2499583179235737,0.7,0.91,0.08999999999999997,0.07999999999999996,0.06999999999999995,27784.0,25.0,,,,residual_trade_prob
walk_forward,2,logistic_residual_trade,market_aware_residual_v1,2026-05-31T18:17:58.840+00:00,8834230023,0x212000bffae05b954a6b51f449cf966cc280051a41323ae2a37a01cf1cd477b2,MAP_WINNER,73568959922747558805079044463449051623199298803530124387342134654406072201915,NO,2026-06-01T11:20:09.107+00:00,1780312808012473660,1100.0,19699,True,0.8884848484848484,0.8884848484848484,0.69,0.57,0.12,103.26,0.10728744495190234,0.7,0.69,0.31000000000000005,0.30000000000000004,0.29000000000000004,4014.0,2.0,,,4197.0,residual_trade_prob
walk_forward,2,logistic_residual_trade,market_aware_residual_v1,2026-05-31T18:17:58.840+00:00,8834230023,2408470,MATCH_WINNER_GAME3_PROXY,9176751882301236225673094124537622527985496208470188479749452449693522539092,NO,2026-06-01T11:27:20.862+00:00,1780313239827991480,1487.0,19699,True,0.8884848484848484,0.8884848484848484,0.73,0.63,0.09999999999999998,140.0,0.1579145627701708,0.7,0.73,0.27,0.26,0.25,5656.0,9.0,,,-1196.0,residual_trade_prob
walk_forward,2,hgb_fair_state,state_only_v1,2026-05-31T18:17:58.840+00:00,8833570075,2403735,MAP_WINNER,20719658468646505747960187366144888625541951491756965930069965060686382109921,YES,2026-05-31T19:28:10.627+00:00,1780255686438539651,881.0,19699,False,0.46130964369386673,0.3333333333333333,0.16,0.12,0.04000000000000001,461.25,0.1733333333333333,0.12,0.16,-0.16,-0.17,-0.18,-1977.0,0.0,,,-280.0,model_edge
walk_forward,2,hgb_fair_state,state_only_v1,2026-05-31T18:17:58.840+00:00,8833592202,2402172,MATCH_WINNER_GAME3_PROXY,98746949176922541120421769123425630499782836764605355371450399035028157453760,NO,2026-05-31T20:12:00.692+00:00,1780258315850014295,2245.0,19699,False,0.4000667590227967,0.22821576763485477,0.07,0.06,0.010000000000000009,843.28,0.15821576763485476,0.12,0.07,-0.07,-0.08,-0.09000000000000001,-3649.0,-2.0,,,3321.0,model_edge
walk_forward,2,hgb_fair_state,state_only_v1,2026-05-31T18:17:58.840+00:00,8834230023,0x212000bffae05b954a6b51f449cf966cc280051a41323ae2a37a01cf1cd477b2,MAP_WINNER,73568959922747558805079044463449051623199298803530124387342134654406072201915,NO,2026-06-01T11:20:09.107+00:00,1780312808012473660,1100.0,19699,True,0.8812773167875654,0.9624060150375939,0.69,0.57,0.12,103.26,0.272406015037594,0.12,0.69,0.31000000000000005,0.30000000000000004,0.29000000000000004,4014.0,2.0,,,4197.0,model_edge
walk_forward,2,hgb_fair_state,state_only_v1,2026-05-31T18:17:58.840+00:00,8834230023,2408470,MATCH_WINNER_GAME3_PROXY,9176751882301236225673094124537622527985496208470188479749452449693522539092,NO,2026-06-01T11:27:20.862+00:00,1780313239827991480,1487.0,19699,True,0.8618611628361865,0.9624060150375939,0.73,0.63,0.09999999999999998,140.0,0.23240601503759395,0.12,0.73,0.27,0.26,0.25,5656.0,9.0,,,-1196.0,model_edge
walk_forward,2,rf_fair_state,state_only_v1,2026-05-31T18:17:58.840+00:00,8833570075,2403735,MAP_WINNER,20719658468646505747960187366144888625541951491756965930069965060686382109921,YES,2026-05-31T19:24:11.646+00:00,1780255447340310438,621.0,19699,False,0.2852520261016296,0.24342105263157895,0.16,0.13,0.03,459.66,0.08342105263157895,0.02,0.16,-0.16,-0.17,-0.18,-1241.0,0.0,,,-913.0,model_edge
walk_forward,2,rf_fair_state,state_only_v1,2026-05-31T18:17:58.840+00:00,8833592202,2402172,MATCH_WINNER_GAME3_PROXY,114655223880042292530586991143879011204329343540263886183589029287526746660271,YES,2026-05-31T19:48:45.155+00:00,1780256925155616908,857.0,19699,True,0.8976181102216481,1.0,0.95,0.92,0.029999999999999916,72.63,0.050000000000000044,0.02,0.95,0.050000000000000044,0.040000000000000036,0.030000000000000027,3676.0,7.0,3.0,-0.0,2511.0,model_edge
walk_forward,2,rf_fair_state,state_only_v1,2026-05-31T18:17:58.840+00:00,8834230023,0x212000bffae05b954a6b51f449cf966cc280051a41323ae2a37a01cf1cd477b2,MAP_WINNER,73568959922747558805079044463449051623199298803530124387342134654406072201915,NO,2026-06-01T11:20:09.107+00:00,1780312808012473660,1100.0,19699,True,0.8402443794207162,0.9659090909090909,0.69,0.57,0.12,103.26,0.275909090909091,0.02,0.69,0.31000000000000005,0.30000000000000004,0.29000000000000004,4014.0,2.0,,,4197.0,model_edge
walk_forward,2,rf_fair_state,state_only_v1,2026-05-31T18:17:58.840+00:00,8834230023,2408470,MATCH_WINNER_GAME3_PROXY,9176751882301236225673094124537622527985496208470188479749452449693522539092,NO,2026-06-01T11:27:20.862+00:00,1780313239827991480,1487.0,19699,True,0.8240821104864161,0.9659090909090909,0.73,0.63,0.09999999999999998,140.0,0.23590909090909096,0.02,0.73,0.27,0.26,0.25,5656.0,9.0,,,-1196.0,model_edge
walk_forward,2,rf_fair_state,state_only_v1,2026-05-31T18:17:58.840+00:00,8834244800,2402194,MAP_WINNER,59807414032603264088720560731790929159549435986005858362006116874643697023669,YES,2026-06-01T11:26:07.447+00:00,1780313167447929205,626.0,19699,False,0.253778481957323,0.13157894736842105,0.1,0.03,0.07,294.76,0.03157894736842104,0.02,0.1,-0.1,-0.11,-0.12000000000000001,-4012.0,-2.0,0.0,0.0,-1399.0,model_edge
walk_forward,2,rf_fair_state,state_only_v1,2026-05-31T18:17:58.840+00:00,8834244800,2402192,MATCH_WINNER_GAME3_PROXY,82406454957514414328807848866614919031814419473870703115492634362571178841613,YES,2026-06-01T11:36:40.516+00:00,1780313799064182385,1249.0,19699,False,0.34844518043251016,0.24342105263157895,0.05,0.001,0.049,542.03,0.19342105263157894,0.02,0.05,-0.05,-0.060000000000000005,-0.07,-8976.0,-2.0,,,146.0,model_edge
walk_forward,2,all_structure_nw8000_struct1_ask75,hand_rule_benchmark_v1,2026-05-31T18:17:58.840+00:00,8833592202,2402172,MATCH_WINNER_GAME3_PROXY,98746949176922541120421769123425630499782836764605355371450399035028157453760,NO,2026-05-31T20:20:33.951+00:00,1780258833951410061,2666.0,19699,False,0.9409752505574233,0.9409752505574233,0.15,0.06,0.09,150.0,0.7909752505574232,,0.15,-0.15,-0.16,-0.16999999999999998,11809.0,1.0,2.0,2.0,198.0,hand_rule
walk_forward,2,all_structure_nw8000_struct1_ask75,hand_rule_benchmark_v1,2026-05-31T18:17:58.840+00:00,8834230023,0x212000bffae05b954a6b51f449cf966cc280051a41323ae2a37a01cf1cd477b2,MAP_WINNER,73568959922747558805079044463449051623199298803530124387342134654406072201915,NO,2026-06-01T11:28:24.030+00:00,1780313304030128541,1616.0,19699,True,0.938892133903714,0.938892133903714,0.59,0.54,0.04999999999999993,43.78,0.348892133903714,,0.59,0.41000000000000003,0.4,0.39,11619.0,10.0,1.0,-0.0,5963.0,hand_rule
walk_forward,2,all_nw_mom_discount_nw8000_mom5000_ask90,hand_rule_benchmark_v1,2026-05-31T18:17:58.840+00:00,8833570075,2403735,MAP_WINNER,25667474292063857915976764828662710806639570660558642389225358765034645844219,NO,2026-05-31T19:46:03.219+00:00,1780256763219262932,1852.0,19699,True,0.9025337569144258,0.9025337569144258,0.89,0.78,0.10999999999999999,95.0,0.01253375691442582,,0.89,0.10999999999999999,0.09999999999999998,0.08999999999999997,11754.0,6.0,-0.0,-0.0,5587.0,hand_rule
walk_forward,2,all_nw_mom_discount_nw8000_mom5000_ask90,hand_rule_benchmark_v1,2026-05-31T18:17:58.840+00:00,8833592202,2402172,MATCH_WINNER_GAME3_PROXY,98746949176922541120421769123425630499782836764605355371450399035028157453760,NO,2026-05-31T20:16:53.243+00:00,1780258613243057348,2450.0,19699,False,0.8764961519257366,0.8764961519257366,0.16,0.07,0.09,309.97,0.7164961519257366,,0.16,-0.16,-0.17,-0.18,11221.0,3.0,0.0,0.0,6219.0,hand_rule
walk_forward,2,all_nw_mom_discount_nw8000_mom5000_ask90,hand_rule_benchmark_v1,2026-05-31T18:17:58.840+00:00,8834230023,0x212000bffae05b954a6b51f449cf966cc280051a41323ae2a37a01cf1cd477b2,MAP_WINNER,73568959922747558805079044463449051623199298803530124387342134654406072201915,NO,2026-06-01T11:28:24.030+00:00,1780313304030128541,1616.0,19699,True,0.938892133903714,0.938892133903714,0.59,0.54,0.04999999999999993,43.78,0.348892133903714,,0.59,0.41000000000000003,0.4,0.39,11619.0,10.0,1.0,-0.0,5963.0,hand_rule
walk_forward,2,all_nw_mom_discount_nw8000_mom5000_ask90,hand_rule_benchmark_v1,2026-05-31T18:17:58.840+00:00,8834230023,2408470,MATCH_WINNER_GAME3_PROXY,9176751882301236225673094124537622527985496208470188479749452449693522539092,NO,2026-06-01T11:28:25.003+00:00,1780313304030128541,1616.0,19699,True,0.9277117854330044,0.9277117854330044,0.78,0.68,0.09999999999999998,140.0,0.14771178543300434,,0.78,0.21999999999999997,0.20999999999999996,0.19999999999999996,11619.0,10.0,,,5963.0,hand_rule
walk_forward,2,all_scoreboard_lag_nw3000_score6_edge10,hand_rule_benchmark_v1,2026-05-31T18:17:58.840+00:00,8833592202,2402172,MATCH_WINNER_GAME3_PROXY,98746949176922541120421769123425630499782836764605355371450399035028157453760,NO,2026-05-31T20:13:50.286+00:00,1780258430286820145,2359.0,19699,False,0.7008523556690835,0.7008523556690835,0.07,0.03,0.04000000000000001,698.28,0.6308523556690835,,0.07,-0.07,-0.08,-0.09000000000000001,3069.0,1.0,0.0,0.0,6718.0,hand_rule
walk_forward,2,all_scoreboard_lag_nw3000_score6_edge10,hand_rule_benchmark_v1,2026-05-31T18:17:58.840+00:00,8834230023,0x212000bffae05b954a6b51f449cf966cc280051a41323ae2a37a01cf1cd477b2,MAP_WINNER,73568959922747558805079044463449051623199298803530124387342134654406072201915,NO,2026-06-01T11:21:14.533+00:00,1780312873442262231,1160.0,19699,True,0.7054028025763103,0.7054028025763103,0.6,0.56,0.039999999999999925,142.31,0.1054028025763103,,0.6,0.4,0.39,0.38,3901.0,2.0,,,4084.0,hand_rule
walk_forward,3,logistic_fair_state,state_only_v1,2026-06-01T15:55:39.100+00:00,8834932746,2408568,MATCH_WINNER_GAME3_PROXY,24412862650133155423877330165183387250914564584142034660417945554029594403595,YES,2026-06-01T20:43:39.749+00:00,1780346613144665082,841.0,19699,True,0.6174894889314075,0.9011627906976745,0.44,0.42,0.020000000000000018,58.0,0.46116279069767446,0.2,0.44,0.56,0.55,0.54,2246.0,-0.0,,,893.0,model_edge
walk_forward,3,logistic_fair_state,state_only_v1,2026-06-01T15:55:39.100+00:00,8835373075,2409870,MAP_WINNER,35484196193984468641577299550429729870744087234242693264406736956995997377111,YES,2026-06-02T09:32:48.271+00:00,1780392768271224710,1084.0,19699,True,0.6255924992867367,0.9011627906976745,0.67,0.66,0.010000000000000009,328.48,0.23116279069767443,0.2,0.67,0.32999999999999996,0.31999999999999995,0.30999999999999994,3035.0,3.0,1.0,0.0,-1136.0,model_edge
walk_forward,3,logistic_fair_state,state_only_v1,2026-06-01T15:55:39.100+00:00,8835490699,2405848,MAP_WINNER,89990399081422979912251762838637752211521554435941372191632067508129490799928,YES,2026-06-02T11:44:55.215+00:00,1780400691558314501,1193.0,19699,False,0.6190009006564946,0.9011627906976745,0.69,0.66,0.029999999999999916,217.32,0.21116279069767452,0.2,0.69,-0.69,-0.7,-0.71,4128.0,-1.0,,,-2540.0,model_edge
walk_forward,3,logistic_fair_state,state_only_v1,2026-06-01T15:55:39.100+00:00,8835609186,2413332,MAP_WINNER,53683990638887175240431274294325116060674956243066203595271632148948778897749,YES,2026-06-02T13:32:17.577+00:00,1780407132000475131,1121.0,19699,False,0.5391730507854192,0.7147335423197493,0.48,0.47,0.010000000000000009,151.5,0.2347335423197493,0.2,0.48,-0.48,-0.49,-0.5,1204.0,2.0,,,-508.0,model_edge
