model_name,canonical_exposure_id,match_id,current_game_number,side,rows,settled_win,avg_ask,pnl_1c,positive_pnl_1c,positive_pnl_share
market_nw_kill_momentum_logistic,8835818773::MAPEQUIV::NO,8835818773,,NO,1,True,0.62,0.37,6.93,0.05339105339105339
market_nw_kill_momentum_logistic,8835373075::MAPEQUIV::NO,8835373075,,NO,1,False,0.34,-0.35000000000000003,6.93,0.0
market_nw_kill_momentum_logistic,8836485094::MAPEQUIV::YES,8836485094,,YES,1,True,0.64,0.35,6.93,0.050505050505050504
market_nw_kill_momentum_logistic,8834230023::3::NO,8834230023,3,NO,1,True,0.68,0.30999999999999994,6.93,0.04473304473304473
market_nw_kill_momentum_logistic,8833592202::3::NO,8833592202,3,NO,1,False,0.11,-0.12,6.93,0.0
market_nw_logistic,8834932746::3::YES,8834932746,3,YES,1,True,0.24,0.75,4.06,0.1847290640394089
market_nw_logistic,8836220468::MAPEQUIV::NO,8836220468,,NO,1,False,0.66,-0.67,4.06,0.0
market_nw_logistic,8835490699::MAPEQUIV::YES,8835490699,,YES,1,False,0.65,-0.66,4.06,0.0
market_nw_logistic,8835703860::1::YES,8835703860,1,YES,1,True,0.35,0.64,4.06,0.1576354679802956
market_nw_logistic,8836583316::MAPEQUIV::YES,8836583316,,YES,1,False,0.59,-0.6,4.06,0.0
market_nw_logistic,8836485094::MAPEQUIV::NO,8836485094,,NO,1,False,0.5,-0.51,4.06,0.0
market_nw_logistic,8836485118::MAPEQUIV::NO,8836485118,,NO,1,False,0.48,-0.49,4.06,0.0
market_nw_logistic,8836624153::3::NO,8836624153,3,NO,1,True,0.51,0.48,4.06,0.11822660098522168
market_nw_logistic,8836485118::MAPEQUIV::YES,8836485118,,YES,1,True,0.53,0.45999999999999996,4.06,0.11330049261083744
market_nw_logistic,8836442480::MAPEQUIV::YES,8836442480,,YES,1,True,0.55,0.43999999999999995,4.06,0.1083743842364532
market_nw_logistic,8834230023::3::NO,8834230023,3,NO,1,True,0.57,0.42000000000000004,4.06,0.10344827586206899
market_nw_logistic,8836358188::1::NO,8836358188,1,NO,1,True,0.78,0.20999999999999996,4.06,0.05172413793103448
market_nw_logistic,8835609186::MAPEQUIV::NO,8835609186,,NO,1,True,0.8,0.18999999999999995,4.06,0.04679802955665024
market_nw_logistic,8836485094::MAPEQUIV::YES,8836485094,,YES,1,True,0.84,0.15000000000000002,4.06,0.036945812807881784
market_nw_logistic,8836692392::3::YES,8836692392,3,YES,1,True,0.86,0.13,4.06,0.03201970443349754
market_nw_logistic,8836445371::MAPEQUIV::NO,8836445371,,NO,1,True,0.88,0.10999999999999999,4.06,0.0270935960591133
market_nw_logistic,8833592202::3::NO,8833592202,3,NO,1,False,0.07,-0.08,4.06,0.0
market_nw_logistic,8834190489::3::NO,8834190489,3,NO,1,True,0.91,0.07999999999999996,4.06,0.01970443349753694
market_score_logistic,8835703860::MAPEQUIV::NO,8835703860,,NO,1,False,0.77,-0.78,6.7,0.0
market_score_logistic,8835373075::MAPEQUIV::YES,8835373075,,YES,1,True,0.29,0.7,6.7,0.1044776119402985
market_score_logistic,8836583316::MAPEQUIV::YES,8836583316,,YES,1,False,0.69,-0.7,6.7,0.0
market_score_logistic,8835490699::MAPEQUIV::NO,8835490699,,NO,1,True,0.33,0.6599999999999999,6.7,0.09850746268656715
market_score_logistic,8834932746::3::YES,8834932746,3,YES,1,True,0.34,0.6499999999999999,6.7,0.09701492537313432
market_score_logistic,8835609186::MAPEQUIV::YES,8835609186,,YES,1,False,0.62,-0.63,6.7,0.0
market_score_logistic,8836692392::3::NO,8836692392,3,NO,1,False,0.61,-0.62,6.7,0.0
market_score_logistic,8836485118::MAPEQUIV::NO,8836485118,,NO,1,False,0.6,-0.61,6.7,0.0
market_score_logistic,8835609186::MAPEQUIV::NO,8835609186,,NO,1,True,0.39,0.6,6.7,0.08955223880597014
market_score_logistic,8836485118::MAPEQUIV::YES,8836485118,,YES,1,True,0.41,0.5800000000000001,6.7,0.08656716417910448
market_score_logistic,8835818773::MAPEQUIV::NO,8835818773,,NO,1,True,0.45,0.54,6.7,0.08059701492537313
market_score_logistic,8831927547::MAPEQUIV::YES,8831927547,,YES,1,False,0.5,-0.51,6.7,0.0
market_score_logistic,8835490699::MAPEQUIV::YES,8835490699,,YES,1,False,0.5,-0.51,6.7,0.0
market_score_logistic,8836442480::MAPEQUIV::YES,8836442480,,YES,1,True,0.54,0.44999999999999996,6.7,0.0671641791044776
market_score_logistic,8832812084::MAPEQUIV::YES,8832812084,,YES,1,False,0.43,-0.44,6.7,0.0
market_score_logistic,8836220468::MAPEQUIV::YES,8836220468,,YES,1,True,0.55,0.43999999999999995,6.7,0.06567164179104476
